iter	Passed	Remaining
0	3	3266
1	5	2726
2	7	2466
3	9	2435
4	11	2349
5	13	2291
6	16	2293
7	18	2254
8	20	2230
9	22	2232
10	24	2209
11	26	2188
12	28	2194
13	30	2180
14	33	2186
15	35	2197
16	37	2185
17	39	2172
18	42	2175
19	44	2166
20	46	2153
21	48	2154
22	50	2147
23	52	2137
24	54	2136
25	57	2137
26	59	2130
27	61	2121
28	63	2126
29	65	2123
30	67	2117
31	70	2124
32	72	2118
33	74	2110
34	76	2114
35	78	2109
36	80	2101
37	83	2102
38	85	2096
39	87	2089
40	89	2089
41	91	2085
42	93	2081
43	95	2083
44	97	2077
45	99	2072
46	102	2069
47	104	2065
48	106	2061
49	108	2064
50	110	2061
51	112	2056
52	114	2052
53	117	2052
54	119	2046
55	121	2042
56	123	2041
57	125	2036
58	127	2031
59	129	2032
60	131	2027
61	133	2022
62	135	2022
63	138	2022
64	140	2023
65	143	2031
66	145	2027
67	147	2022
68	149	2021
69	151	2018
70	153	2013
71	156	2016
72	158	2014
73	160	2013
74	163	2017
75	165	2015
76	168	2015
77	170	2014
78	172	2011
79	174	2010
80	177	2010
81	179	2007
82	181	2006
83	183	2005
84	186	2005
85	189	2011
86	191	2012
87	194	2012
88	197	2017
89	199	2018
90	202	2025
91	205	2026
92	208	2029
93	210	2029
94	213	2029
95	215	2031
96	218	2029
97	220	2029
98	223	2032
99	225	2031
100	228	2035
101	231	2034
102	233	2033
103	236	2036
104	238	2034
105	241	2033
106	243	2032
107	245	2030
108	248	2034
109	251	2032
110	253	2030
111	256	2033
112	259	2034
113	261	2036
114	264	2033
115	266	2030
116	269	2030
117	271	2028
118	274	2031
119	276	2029
120	278	2026
121	281	2024
122	283	2023
123	285	2020
124	288	2020
125	291	2018
126	293	2015
127	295	2015
128	297	2011
129	300	2008
130	302	2007
131	305	2005
132	307	2004
133	309	2002
134	312	1999
135	314	1997
136	316	1996
137	319	1993
138	322	1994
139	324	1991
140	326	1987
141	328	1986
142	330	1982
143	332	1978
144	335	1975
145	337	1971
146	338	1967
147	341	1963
148	343	1960
149	345	1956
150	347	1954
151	349	1951
152	352	1948
153	354	1944
154	356	1941
155	358	1937
156	360	1933
157	362	1930
158	364	1927
159	366	1923
160	369	1924
161	371	1920
162	373	1919
163	375	1916
164	377	1912
165	380	1909
166	382	1907
167	384	1904
168	386	1901
169	388	1898
170	391	1895
171	393	1892
172	395	1890
173	397	1886
174	399	1883
175	401	1880
176	403	1877
177	405	1873
178	408	1871
179	410	1868
180	412	1864
181	414	1861
182	416	1857
183	418	1854
184	420	1850
185	422	1847
186	424	1844
187	426	1840
188	428	1838
189	430	1835
190	432	1832
191	434	1829
192	436	1826
193	439	1823
194	441	1820
195	443	1817
196	445	1814
197	447	1811
198	449	1809
199	451	1805
200	453	1802
201	455	1800
202	457	1797
203	459	1794
204	462	1792
205	464	1789
206	466	1786
207	468	1784
208	470	1780
209	472	1777
210	474	1774
211	476	1772
212	478	1768
213	480	1766
214	483	1763
215	485	1760
216	487	1757
217	489	1755
218	491	1751
219	493	1748
220	495	1746
221	497	1743
222	499	1741
223	503	1742
224	505	1740
225	507	1738
226	509	1735
227	511	1732
228	514	1732
229	516	1730
230	519	1728
231	522	1728
232	524	1725
233	526	1722
234	528	1721
235	530	1718
236	532	1715
237	535	1713
238	537	1710
239	539	1707
240	541	1704
241	543	1702
242	545	1700
243	548	1698
244	550	1695
245	552	1692
246	554	1689
247	556	1686
248	558	1684
249	560	1681
250	562	1678
251	564	1675
252	566	1672
253	568	1670
254	570	1667
255	572	1664
256	574	1662
257	576	1659
258	578	1656
259	580	1653
260	583	1651
261	585	1648
262	587	1645
263	589	1642
264	591	1639
265	593	1636
266	595	1634
267	597	1631
268	599	1628
269	601	1625
270	603	1623
271	605	1620
272	607	1617
273	609	1615
274	611	1612
275	613	1609
276	615	1607
277	617	1604
278	619	1601
279	621	1599
280	623	1596
281	625	1593
282	627	1590
283	629	1588
284	631	1585
285	633	1582
286	636	1580
287	638	1578
288	640	1575
289	642	1573
290	644	1570
291	646	1567
292	649	1567
293	651	1564
294	653	1561
295	656	1560
296	658	1558
297	660	1555
298	662	1553
299	664	1550
300	666	1548
301	668	1546
302	670	1543
303	672	1540
304	674	1537
305	676	1535
306	678	1532
307	680	1529
308	683	1527
309	685	1524
310	686	1521
311	689	1519
312	691	1517
313	693	1514
314	695	1512
315	697	1510
316	699	1507
317	701	1505
318	704	1502
319	706	1500
320	708	1498
321	710	1496
322	712	1493
323	714	1491
324	716	1488
325	718	1486
326	720	1483
327	722	1481
328	724	1478
329	727	1476
330	729	1473
331	731	1471
332	733	1468
333	735	1466
334	737	1464
335	739	1462
336	743	1462
337	745	1460
338	748	1458
339	750	1456
340	752	1454
341	755	1453
342	757	1451
343	760	1449
344	762	1448
345	765	1446
346	767	1444
347	769	1442
348	772	1440
349	774	1438
350	777	1436
351	779	1434
352	781	1432
353	784	1430
354	786	1429
355	788	1427
356	791	1424
357	793	1422
358	795	1420
359	798	1418
360	800	1417
361	803	1415
362	805	1413
363	807	1410
364	809	1409
365	812	1406
366	814	1404
367	816	1402
368	818	1400
369	820	1397
370	823	1395
371	825	1393
372	827	1391
373	830	1389
374	832	1387
375	835	1385
376	837	1383
377	839	1381
378	841	1379
379	844	1377
380	846	1375
381	849	1373
382	851	1371
383	853	1369
384	856	1367
385	858	1366
386	861	1364
387	863	1362
388	865	1360
389	868	1358
390	870	1356
391	872	1354
392	875	1352
393	877	1350
394	879	1347
395	882	1346
396	884	1343
397	886	1341
398	889	1339
399	891	1337
400	894	1336
401	896	1334
402	898	1331
403	901	1329
404	903	1327
405	905	1325
406	908	1323
407	910	1321
408	912	1318
409	914	1316
410	916	1314
411	918	1311
412	921	1309
413	923	1307
414	925	1304
415	927	1302
416	929	1299
417	931	1297
418	933	1294
419	936	1292
420	938	1290
421	940	1287
422	942	1285
423	944	1283
424	946	1281
425	949	1278
426	951	1277
427	954	1275
428	956	1272
429	958	1270
430	960	1268
431	962	1265
432	964	1263
433	966	1260
434	969	1258
435	971	1256
436	973	1253
437	975	1251
438	977	1249
439	979	1247
440	982	1245
441	984	1242
442	986	1240
443	988	1238
444	990	1235
445	992	1233
446	995	1231
447	997	1229
448	999	1226
449	1001	1224
450	1003	1222
451	1005	1219
452	1008	1217
453	1010	1215
454	1012	1212
455	1014	1210
456	1016	1208
457	1018	1205
458	1020	1203
459	1022	1200
460	1025	1198
461	1027	1196
462	1029	1193
463	1031	1191
464	1033	1189
465	1035	1186
466	1037	1184
467	1039	1182
468	1042	1180
469	1044	1177
470	1046	1175
471	1048	1173
472	1051	1171
473	1053	1168
474	1056	1167
475	1058	1164
476	1060	1162
477	1062	1160
478	1064	1158
479	1066	1155
480	1069	1153
481	1071	1151
482	1073	1148
483	1075	1146
484	1077	1143
485	1079	1141
486	1081	1139
487	1083	1136
488	1085	1134
489	1087	1132
490	1089	1129
491	1091	1127
492	1093	1124
493	1096	1122
494	1098	1120
495	1100	1117
496	1102	1115
497	1104	1113
498	1106	1110
499	1108	1108
500	1110	1106
501	1112	1103
502	1115	1101
503	1117	1099
504	1119	1097
505	1121	1095
506	1123	1092
507	1125	1090
508	1127	1087
509	1129	1085
510	1131	1083
511	1133	1080
512	1136	1078
513	1138	1076
514	1140	1073
515	1142	1071
516	1144	1069
517	1146	1066
518	1148	1064
519	1150	1062
520	1152	1059
521	1155	1057
522	1157	1055
523	1159	1052
524	1161	1050
525	1163	1048
526	1165	1046
527	1167	1043
528	1169	1041
529	1171	1039
530	1173	1036
531	1175	1034
532	1177	1032
533	1179	1029
534	1182	1027
535	1184	1025
536	1186	1022
537	1188	1020
538	1190	1018
539	1192	1016
540	1194	1013
541	1196	1011
542	1198	1008
543	1200	1006
544	1202	1004
545	1204	1001
546	1206	999
547	1208	997
548	1211	994
549	1212	992
550	1215	990
551	1217	987
552	1218	985
553	1220	982
554	1222	980
555	1225	978
556	1226	975
557	1228	973
558	1230	971
559	1232	968
560	1234	966
561	1236	963
562	1238	961
563	1240	959
564	1243	957
565	1245	954
566	1247	952
567	1249	950
568	1251	947
569	1253	945
570	1255	943
571	1257	941
572	1259	938
573	1261	936
574	1263	934
575	1265	931
576	1267	929
577	1270	927
578	1272	925
579	1274	922
580	1276	920
581	1278	918
582	1280	916
583	1282	913
584	1284	911
585	1286	909
586	1289	906
587	1291	904
588	1293	902
589	1295	900
590	1297	897
591	1299	895
592	1301	893
593	1303	890
594	1305	888
595	1307	886
596	1309	883
597	1311	881
598	1313	879
599	1315	877
600	1317	874
601	1319	872
602	1321	870
603	1323	867
604	1325	865
605	1327	863
606	1330	861
607	1332	858
608	1334	856
609	1336	854
610	1338	852
611	1340	849
612	1342	847
613	1345	845
614	1347	843
615	1349	841
616	1351	838
617	1353	836
618	1355	834
619	1357	832
620	1359	829
621	1361	827
622	1364	825
623	1366	823
624	1367	820
625	1370	818
626	1372	816
627	1374	813
628	1376	811
629	1378	809
630	1380	807
631	1382	805
632	1384	802
633	1386	800
634	1389	798
635	1391	796
636	1393	793
637	1395	791
638	1397	789
639	1399	787
640	1401	784
641	1403	782
642	1405	780
643	1407	778
644	1410	776
645	1412	773
646	1414	771
647	1416	769
648	1418	767
649	1420	764
650	1422	762
651	1424	760
652	1426	757
653	1428	755
654	1430	753
655	1432	751
656	1434	749
657	1437	746
658	1439	744
659	1441	742
660	1443	740
661	1445	737
662	1447	735
663	1449	733
664	1451	731
665	1453	729
666	1456	726
667	1458	724
668	1460	722
669	1462	720
670	1464	717
671	1466	715
672	1468	713
673	1470	711
674	1472	709
675	1474	706
676	1476	704
677	1478	702
678	1481	700
679	1483	698
680	1485	695
681	1487	693
682	1489	691
683	1491	689
684	1493	686
685	1495	684
686	1497	682
687	1499	680
688	1501	677
689	1503	675
690	1505	673
691	1507	671
692	1510	669
693	1512	666
694	1514	664
695	1516	662
696	1518	660
697	1520	657
698	1523	655
699	1526	654
700	1529	652
701	1531	650
702	1534	648
703	1536	646
704	1538	643
705	1540	641
706	1543	639
707	1545	637
708	1547	635
709	1549	632
710	1551	630
711	1553	628
712	1555	626
713	1557	624
714	1559	621
715	1561	619
716	1563	617
717	1565	614
718	1567	612
719	1569	610
720	1572	608
721	1573	606
722	1576	603
723	1578	601
724	1580	599
725	1582	597
726	1584	594
727	1586	592
728	1588	590
729	1590	588
730	1592	586
731	1594	583
732	1597	581
733	1599	579
734	1601	577
735	1603	575
736	1605	572
737	1607	570
738	1609	568
739	1612	566
740	1614	564
741	1616	561
742	1618	559
743	1620	557
744	1622	555
745	1624	553
746	1626	550
747	1628	548
748	1630	546
749	1632	544
750	1634	541
751	1636	539
752	1638	537
753	1640	535
754	1643	533
755	1645	530
756	1647	528
757	1650	526
758	1652	524
759	1654	522
760	1656	520
761	1658	518
762	1660	515
763	1663	513
764	1665	511
765	1667	509
766	1670	507
767	1672	505
768	1674	502
769	1676	500
770	1679	498
771	1680	496
772	1683	494
773	1685	492
774	1687	489
775	1689	487
776	1691	485
777	1694	483
778	1696	481
779	1698	479
780	1700	476
781	1702	474
782	1704	472
783	1706	470
784	1708	467
785	1710	465
786	1712	463
787	1714	461
788	1716	459
789	1718	456
790	1720	454
791	1722	452
792	1725	450
793	1726	448
794	1729	445
795	1731	443
796	1733	441
797	1735	439
798	1737	437
799	1739	434
800	1741	432
801	1743	430
802	1745	428
803	1747	426
804	1750	424
805	1752	421
806	1755	419
807	1757	417
808	1759	415
809	1761	413
