model,accuracy,precision,recall,f1,roc_auc
XGBoost,0.6437728937728938,0.5573940020682523,0.4217527386541471,0.4801781737193764,0.6542896574195479
DecisionTree,0.583943833943834,0.46733282090699463,0.4757433489827856,0.47150058162078323,0.5644482510679694
LightGBM,0.6541514041514042,0.5845974329054843,0.392018779342723,0.46932084309133487,0.6630025957099509
KNN,0.6410256410256411,0.5548387096774193,0.40375586854460094,0.4673913043478261,0.6242488576213145
RandomForest,0.6694139194139194,0.6453055141579732,0.33881064162754304,0.44433042585941507,0.6853385075216062
GradientBoosting,0.659035409035409,0.6251944012441679,0.3145539906103286,0.4185320145757418,0.6449336660604266
SVM_rbf,0.6742979242979243,0.7032755298651252,0.2856025039123631,0.4062326099053979,0.6871133653215031
GaussianNB,0.6208791208791209,0.5338345864661654,0.2222222222222222,0.3138121546961326,0.5849961855439164
CatBoost,0.5662393162393162,0.3997194950911641,0.22300469483568075,0.2862882973380211,0.6978962530605721
SGDClassifier,0.5576923076923077,0.38430311231393777,0.2222222222222222,0.2816063460585027,0.4850378547561646
AdaBoost,0.6242368742368742,0.6103286384976526,0.10172143974960876,0.1743796109993293,0.5666999158783197
LogisticRegression,0.6098901098901099,0.5,0.001564945226917058,0.0031201248049922,0.4992907618103236
SVM_linear,0.6098901098901099,0.0,0.0,0.0,0.4776098477193939
