Station,Year,mean,min,max
BEL00081,2019,0.001516,0.00041,0.0027
BEL00082,2018,0.0022192307692307693,0.00112,0.0073
BEL00082,2021,0.014839999999999999,0.003,0.027416
BEL00084,2017,0.006566666666666666,0.0037,0.0105
BEL00084,2020,0.007058333333333333,0.0024,0.0159
BEL00086,2018,0.004525,0.0033,0.0062
BEL00086,2021,0.018208,0.005,0.027416
BEL00087,2018,0.004366666666666667,0.0033,0.0063
BEL00087,2021,0.017673333333333333,0.005,0.027416
BEL00088,2017,0.0037,0.0037,0.0037
BEL00088,2018,0.003741666666666667,0.0026,0.0048
BEL00088,2021,0.015673333333333334,0.003,0.027416
BEL00090,2017,0.002691666666666667,0.0015,0.0048
BEL00090,2020,0.0056033333333333326,0.00081,0.036
BEL00092,2017,0.0011400000000000002,0.00079,0.0025
BEL00092,2020,0.004125,0.0004,0.023
BEL00093,2019,0.00445,0.0031,0.007
BEL00094,2019,0.004,0.00108,0.0145
BEL00096,2018,0.010475,0.0072,0.013
BEL00096,2021,0.029840727272727272,0.016,0.07
BEL00098,2019,0.005158333333333333,0.0004,0.016
BEL00100,2019,0.0030833333333333333,0.0018,0.007
BEL00101,2019,0.0028750000000000004,0.0018,0.007
BEL00102,2019,0.002512727272727273,0.00144,0.007
BEL00104,2017,0.0028833333333333332,0.0014,0.0061
BEL00104,2020,0.002213636363636364,0.0008,0.0049
BEL00106,2017,0.0032909090909090913,0.0014,0.008
BEL00110,2017,0.0039833333333333335,0.0016,0.008
BEL00110,2020,0.006566666666666666,0.00087,0.022
BEL00111,2017,0.0022908333333333335,0.00064,0.009
BEL00111,2020,0.0030358333333333335,0.00086,0.0101
BEL00112,2017,0.007381818181818181,0.0058,0.011
BEL00112,2020,0.004341666666666666,0.003,0.0064
BEL00113,2017,0.003080833333333333,0.0011,0.0048
BEL00113,2020,0.007188333333333334,0.0008,0.044
BEL00114,2019,0.0013325000000000001,0.0004,0.007
BEL00115,2017,0.021754545454545457,0.0083,0.094
BEL00115,2019,0.01,0.007,0.013
BEL00115,2020,0.010272727272727274,0.0048,0.018
BEL00115,2021,0.033708,0.027416,0.04
BEL00116,2019,0.002925,0.002,0.007
BEL00117,2017,0.006441666666666666,0.0049,0.0081
BEL00117,2020,0.008450000000000001,0.0031,0.029
BEL00118,2019,0.008041666666666667,0.0052,0.02
BEL00119,2017,0.0074,0.0038,0.011
BEL00119,2018,0.00715,0.0039,0.016
BEL00119,2019,0.00655,0.006,0.0069
BEL00119,2020,0.003925,0.0024,0.0056
BEL00119,2021,0.01954133333333333,0.007,0.027416
BEL00120,2017,0.00176,0.0014,0.0022
BEL00120,2018,0.0014774999999999999,0.00102,0.0019
BEL00120,2019,0.001625,0.0012,0.0019
BEL00120,2020,0.00198,0.00072,0.0049
BEL00120,2021,0.012780333333333333,0.003,0.027416
BEL00122,2018,0.002643333333333333,0.00093,0.0046
BEL00122,2021,0.015874666666666665,0.003,0.027416
BEL00124,2019,0.0031444444444444445,0.001,0.0076
BEL00125,2019,0.0015858333333333334,0.00046,0.003
BGR00002,2020,2e-05,2e-05,2e-05
BGR00003,2020,2e-05,2e-05,2e-05
CHE00016,2012,0.005290909090909091,0.0034,0.012
CHE00034,2012,0.0016272727272727272,0.001,0.0022
CHE00043,2012,0.0020636363636363634,0.001,0.0051
CHE00046,2012,0.002581818181818182,0.001,0.0073
CHE00072,2012,0.005276923076923077,0.005,0.0075
CHE00075,2012,0.0015636363636363636,0.001,0.0022
EST00004,2019,3.1e-05,3.1e-05,3.1e-05
EST00005,2019,3.1e-05,3.1e-05,3.1e-05
EST00005,2020,3e-05,3e-05,3e-05
FRA00029,2016,0.001,0.001,0.001
FRA00029,2017,0.0006,0.0006,0.0006
FRA00030,2016,0.001,0.001,0.001
FRA00030,2017,0.0006153846153846154,0.0006,0.0007
FRA00031,2016,0.001075,0.001,0.0013
FRA00031,2017,0.0007307692307692308,0.0006,0.0013
FRA00032,2016,0.0016,0.001,0.002
FRA00032,2017,0.001969230769230769,0.0011,0.0048
FRA00033,2016,0.0033333333333333327,0.0016,0.0056
FRA00033,2017,0.0024,0.0008,0.0068
FRA00034,2016,0.0029749999999999998,0.0024,0.0036
FRA00034,2017,0.0025346153846153847,0.0014,0.0063
FRA00035,2016,0.004225,0.0036,0.0055
FRA00035,2017,0.0031583333333333337,0.0006,0.0048
FRA00036,2016,0.00165,0.001,0.0025
FRA00036,2017,0.001246153846153846,0.0006,0.0019
FRA00037,2016,0.0021000000000000003,0.001,0.0037
FRA00037,2017,0.0022615384615384615,0.0009,0.0059
FRA00038,2016,0.003225,0.0012,0.0055
FRA00038,2017,0.0033153846153846154,0.0012,0.0056
FRA00039,2016,0.001,0.001,0.001
FRA00039,2017,0.0006076923076923076,0.0006,0.0007
FRA00040,2016,0.0033499999999999997,0.0017,0.0055
FRA00040,2017,0.0031384615384615383,0.0012,0.0062
FRA00041,2016,0.0026750000000000003,0.0014,0.0042
