Station,SampleDate,Sample.Time,Depth,Parameter,Analysis.Method.Code,Value.Flags,Value,Unit,Data.Quality,Year
BEL00081,2019-01-28,12:00,0.3,PFOS,0,,0.00093,µg/l,Fair,2019
BEL00081,2019-02-25,12:00,0.3,PFOS,0,,0.00067,µg/l,Fair,2019
BEL00081,2019-03-26,12:00,0.3,PFOS,0,,0.00041,µg/l,Fair,2019
BEL00081,2019-04-24,12:00,0.3,PFOS,0,,0.0018,µg/l,Fair,2019
BEL00081,2019-05-23,12:00,0.3,PFOS,0,,0.0013,µg/l,Fair,2019
BEL00081,2019-06-25,12:00,0.3,PFOS,0,,0.0024,µg/l,Fair,2019
BEL00081,2019-08-26,12:00,0.3,PFOS,0,,0.0027,µg/l,Fair,2019
BEL00081,2019-10-22,12:00,0.3,PFOS,0,,0.0026,µg/l,Fair,2019
BEL00081,2019-11-25,12:00,0.3,PFOS,0,,0.00151,µg/l,Fair,2019
BEL00081,2019-12-09,12:00,0.3,PFOS,0,,0.00084,µg/l,Fair,2019
BEL00082,2018-01-10,12:00,0.3,PFOS,0,,0.0013,µg/l,Fair,2018
BEL00082,2018-02-07,12:00,0.3,PFOS,0,,0.00113,µg/l,Fair,2018
BEL00082,2018-03-07,12:00,0.3,PFOS,0,,0.0012,µg/l,Fair,2018
BEL00082,2018-04-04,12:00,0.3,PFOS,0,,0.00112,µg/l,Fair,2018
BEL00082,2018-05-02,12:00,0.3,PFOS,0,,0.0016,µg/l,Fair,2018
BEL00082,2018-05-30,12:00,0.3,PFOS,0,,0.0025,µg/l,Fair,2018
BEL00082,2018-06-27,12:00,0.3,PFOS,0,,0.0018,µg/l,Fair,2018
BEL00082,2018-07-25,12:00,0.3,PFOS,0,,0.0026,µg/l,Fair,2018
BEL00082,2018-08-22,12:00,0.3,PFOS,0,,0.0023,µg/l,Fair,2018
BEL00082,2018-09-19,12:00,0.3,PFOS,0,,0.0019,µg/l,Fair,2018
BEL00082,2018-10-17,12:00,0.3,PFOS,0,,0.0073,µg/l,Fair,2018
BEL00082,2018-11-21,12:00,0.3,PFOS,0,,0.0022,µg/l,Fair,2018
BEL00082,2018-12-12,12:00,0.3,PFOS,0,,0.0019,µg/l,Fair,2018
BEL00082,2021-01-07,12:00,0.3,PFOS,0,,0.027416,µg/l,Fair,2021
BEL00082,2021-02-02,12:00,0.3,PFOS,0,,0.027416,µg/l,Fair,2021
BEL00082,2021-03-02,12:00,0.3,PFOS,0,,0.027416,µg/l,Fair,2021
BEL00082,2021-03-30,12:00,0.3,PFOS,0,,0.027416,µg/l,Fair,2021
BEL00082,2021-04-29,12:00,0.3,PFOS,0,,0.02,µg/l,Fair,2021
BEL00082,2021-05-26,12:00,0.3,PFOS,0,,0.027416,µg/l,Fair,2021
BEL00082,2021-06-22,12:00,0.3,PFOS,0,,0.004,µg/l,Fair,2021
